starttime,time,duration,name,ip,song1,song2,favsong,comment
2014-01-16 22:04:30 UTC,2014-01-16 22:12:51 UTC,501.7904251,June,24.105.166.42,IveFoundanewbabyOutputStereoOut.mp3,BornLoverOutputStereoOut.mp3,BornLoverOutputStereoOut.mp3,
2014-01-16 22:12:51 UTC,2014-01-16 22:13:23 UTC,32.44325209,June,24.105.166.42,13MessinwiththeKid.mp3,18CloserWalkwithTheeSweetMo.mp3,18CloserWalkwithTheeSweetMo.mp3,
2014-01-16 22:16:32 UTC,2014-01-16 22:18:35 UTC,123.160063,,18.199.0.100,07BlackandBlueSweetMo.mp3,DarkEyesOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,
2014-01-16 22:13:23 UTC,2014-01-16 22:20:16 UTC,413.5298779,June,24.105.166.42,HoochieCoochieManOutputStereoOut.mp3,OntheSunnySideoftheStreetOutputStereoOut.mp3,HoochieCoochieManOutputStereoOut.mp3,
2014-01-16 22:20:16 UTC,2014-01-16 22:27:23 UTC,427.05143,June,24.105.166.42,BluesMyNaughtyOutputStereoOut.mp3,CloserWalkWithTheeOutputStereoOut.mp3,BluesMyNaughtyOutputStereoOut.mp3,
2014-01-16 22:27:23 UTC,2014-01-16 22:33:54 UTC,391.6030099,June,24.105.166.42,ToughTruckinOutputStereoOut.mp3,RocksinMyBedOutputStereoOutk.mp3,ToughTruckinOutputStereoOut.mp3,
2014-01-16 22:39:55 UTC,2014-01-16 22:40:03 UTC,8.49387598,,128.103.224.221,01TexasMoanerBlues.mp3,GeeBabyAintIgoodtoYouOutputStereoOut.mp3,01TexasMoanerBlues.mp3,
2014-01-16 22:33:54 UTC,2014-01-16 22:44:37 UTC,643.2281432,June,24.105.166.42,SaintJamesInfirmaryOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,
2014-01-16 22:40:03 UTC,2014-01-16 22:48:41 UTC,518.2191129,"This is one of my favorite songs, and I love to hear a wailing clarinet!",128.103.224.221,AllOfMeOutputStereoOut.mp3,SexyandIknowit.mp3,AllOfMeOutputStereoOut.mp3,
2014-01-16 23:40:37 UTC,2014-01-16 23:50:22 UTC,585.5261781,Katie,74.78.189.87,RocksinMyBedOutputStereoOut1.mp3,AllOfMeOutputStereoOut.mp3,AllOfMeOutputStereoOut.mp3,sweet sweeeet clarinet! then the trumpet a clarinet play off each other at the end - nice.
2014-01-16 23:50:22 UTC,2014-01-16 23:51:40 UTC,78.68350887,Katie,74.78.189.87,SaintJamesInfirmaryOutputStereoOut.mp3,OntheSunnySideoftheStreetOutputStereoOut.mp3,SaintJamesInfirmaryOutputStereoOut.mp3,
2014-01-16 23:51:40 UTC,2014-01-16 23:55:39 UTC,239.3205531,Katie,74.78.189.87,AllOfMeOutputStereoOut.mp3,ToughTruckinOutputStereoOut.mp3,AllOfMeOutputStereoOut.mp3,"this is a super hard choice. I want both of these! But since I must choose, I would say that tough truckin is probably at its best live. And all of me can stand alone."
2014-01-17 00:02:37 UTC,2014-01-17 00:03:32 UTC,55.76531887,I think including your song would really open this album up for non-dancers since it is such a classic standard.,209.6.205.61,DoYouKnowWhatitMeansOutputStereoOut.mp3,RocksinMyBedOutputStereoOutk.mp3,DoYouKnowWhatitMeansOutputStereoOut.mp3,
2014-01-20 03:23:04 UTC,2014-01-20 03:31:22 UTC,498.962846,,192.171.43.186,02BlueDrag.mp3,OntheSunnySideoftheStreetOutputStereoOut.mp3,02BlueDrag.mp3,
2014-01-17 00:03:57 UTC,2014-01-17 00:04:32 UTC,35.42178988,I think including your song would really open this album up for non-dancers since it is such a classic standard.,209.6.205.61,HoochieCoochieManOutputStereoOut.mp3,12GetonWithItSweetMo.mp3,HoochieCoochieManOutputStereoOut.mp3,
2014-01-16 23:55:39 UTC,2014-01-17 00:05:42 UTC,603.7058051,Katie,74.78.189.87,BluesMyNaughtyOutputStereoOut.mp3,CloserWalkWithTheeOutputStereoOut.mp3,CloserWalkWithTheeOutputStereoOut.mp3,I am having a great time listening to all of these songs. closer walk with thee exudes more passion
2014-01-17 00:05:42 UTC,2014-01-17 00:06:37 UTC,55.35851288,Katie,74.78.189.87,SisterKateOutputStereoOut.mp3,SummerTimeOutputStereoOut.mp3,SummerTimeOutputStereoOut.mp3,
2014-01-17 00:06:37 UTC,2014-01-17 00:08:00 UTC,83.64628005,Katie,74.78.189.87,ItsalrightwithmeOutputStereoOut.mp3,BluesMyNaughtyOutputStereoOut.mp3,BluesMyNaughtyOutputStereoOut.mp3,
2014-01-17 00:08:00 UTC,2014-01-17 00:10:01 UTC,121.813678,Katie,74.78.189.87,18CloserWalkwithTheeSweetMo.mp3,ComesLoveOutputStereoOut.mp3,ComesLoveOutputStereoOut.mp3,"I love Josh, but he has changed his singing style in the last few years and I don't like it as much."
2014-01-17 00:10:01 UTC,2014-01-17 00:12:21 UTC,140.6291468,Katie,74.78.189.87,AllOfMeOutputStereoOut.mp3,PoisonOutputStereoOut.mp3,AllOfMeOutputStereoOut.mp3,
2014-01-17 00:12:22 UTC,2014-01-17 00:16:26 UTC,244.0562561,Katie,74.78.189.87,WorkSongOutputStereoOut.mp3,JoshandMattDuoOutputStereoOut.mp3,WorkSongOutputStereoOut.mp3,sorry - I didn't like either the work song or josh/matt duo. This would be my bathroom break
2014-01-17 00:16:26 UTC,2014-01-17 00:26:01 UTC,575.31251,Katie,74.78.189.87,17RocksinMyBedSweetMo.mp3,SlowBoattoChinaOutputStereoOut.mp3,SlowBoattoChinaOutputStereoOut.mp3,"I loved both Rocks and the Slow Boat! Ugh. Rocks: loved the vocals, but a bit long for frequent play. Slow boat has great instrumentation but too much audience noise. Gotta pick one"
2014-01-17 00:26:01 UTC,2014-01-17 00:26:29 UTC,28.70239115,Katie,74.78.189.87,OntheSunnySideoftheStreetOutputStereoOut.mp3,SummerTimeOutputStereoOut.mp3,SummerTimeOutputStereoOut.mp3,
2014-01-17 00:26:29 UTC,2014-01-17 00:26:53 UTC,24.09126997,Katie,74.78.189.87,SlowBoattoChinaOutputStereoOut.mp3,PoisonOutputStereoOut.mp3,SlowBoattoChinaOutputStereoOut.mp3,
2014-01-17 00:26:53 UTC,2014-01-17 00:28:42 UTC,109.4290922,Katie,74.78.189.87,GetonWithItOutputStereoOut.mp3,17RocksinMyBedSweetMo.mp3,17RocksinMyBedSweetMo.mp3,
2014-01-17 00:28:42 UTC,2014-01-17 00:28:51 UTC,9.872468948,Katie,74.78.189.87,ComesLoveOutputStereoOut.mp3,SummerTimeOutputStereoOut.mp3,SummerTimeOutputStereoOut.mp3,
2014-01-17 00:28:52 UTC,2014-01-17 00:30:56 UTC,124.4723358,Katie,74.78.189.87,ItsalrightwithmeOutputStereoOut.mp3,02BlueDrag.mp3,02BlueDrag.mp3,
